Component,Explained Var,Cumulative
162,2.3804210746480095e-06,0.9999716882921422
163,2.3080377307737524e-06,0.999973996329873
164,2.1644483187519185e-06,0.9999761607781918
165,1.9571857425903466e-06,0.9999781179639344
166,1.8648553208061696e-06,0.9999799828192553
167,1.7371658688920842e-06,0.9999817199851242
168,1.675742108665359e-06,0.9999833957272328
169,1.5017323880317846e-06,0.9999848974596208
170,1.4053081019691658e-06,0.9999863027677228
171,1.3440734126214821e-06,0.9999876468411354
172,1.2808815968018237e-06,0.9999889277227322
173,1.194727813193889e-06,0.9999901224505454
174,1.124730866567598e-06,0.999991247181412
175,1.0540868099249404e-06,0.9999923012682219
176,9.77526785047153e-07,0.999993278795007
177,9.37885473246905e-07,0.9999942166804803
178,8.368662996226497e-07,0.9999950535467799
179,7.966333062528047e-07,0.9999958501800861
180,7.199664439624068e-07,0.99999657014653
181,5.655745200594688e-07,0.9999971357210501
182,4.200613591144424e-07,0.9999975557824092
183,2.772538764564754e-07,0.9999978330362856
184,2.662433295430664e-07,0.9999980992796151
185,2.2634848776682745e-07,0.9999983256281029
186,1.833442838042725e-07,0.9999985089723866
187,1.6962033915455214e-07,0.9999986785927257
188,1.6018176738659645e-07,0.9999988387744931
189,1.5197497489965894e-07,0.9999989907494681
190,1.4221058548497708e-07,0.9999991329600536
191,1.2750545148836788e-07,0.9999992604655051
192,1.1424565726323133e-07,0.9999993747111624
193,9.322417230057667e-08,0.9999994679353347
194,7.76473583551708e-08,0.999999545582693
195,6.530363069877421e-08,0.9999996108863237
196,5.772101672058247e-08,0.9999996686073405
197,4.6859473410970564e-08,0.9999997154668139
198,4.45976498392648e-08,0.9999997600644637
199,4.151046441592011e-08,0.9999998015749281
200,3.600622529064633e-08,0.9999998375811534
201,2.8166840255173726e-08,0.9999998657479937
202,2.6452627385333802e-08,0.9999998922006211
203,2.2757398760501207e-08,0.9999999149580199
204,2.0059986323153966e-08,0.9999999350180062
205,1.6225267897375855e-08,0.9999999512432741
206,1.3289897050009274e-08,0.9999999645331712
207,1.1281879296889812e-08,0.9999999758150505
208,7.879728563504869e-09,0.999999983694779
209,6.999559714693762e-09,0.9999999906943388
210,5.193124763167155e-09,0.9999999958874635
211,3.5107294098133446e-09,0.9999999993981928
212,3.094774290495332e-10,0.9999999997076703
213,2.836403126665816e-10,0.9999999999913106
214,8.689968347716181e-12,1.0000000000000007
