Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
32 1.29893E-15 1.82862E-07 2.50298E-08 5.37940E-22 9.02360E-12 1.66101E-14 1.11688E-22 5.32301E-11 7.10004E-12 4.97497E-06 9.97247E-05 2.19476E-20 6.96581E-14 1.69857E-16 6.86148E-14 3.66657E-14 1.33073E-15 3.33983E-12 6.00167E-06 2.57772E-15 6.18633E-13 6.85190E-17 6.98992E-15 2.13304E-13 2.75024E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05327E-10 2.99999E-04 6.88828E-04 9.98616E-01 1.10884E-04
33 1.29911E-15 1.82862E-07 2.50298E-08 5.38050E-22 9.02360E-12 1.66113E-14 1.11711E-22 5.32301E-11 7.10042E-12 4.97497E-06 9.97247E-05 2.19521E-20 6.96660E-14 1.69888E-16 6.86148E-14 3.66669E-14 1.33091E-15 3.33983E-12 6.00167E-06 2.57807E-15 6.18666E-13 6.85284E-17 6.99007E-15 2.13319E-13 2.75025E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05327E-10 2.99999E-04 6.88875E-04 9.98616E-01 1.10884E-04
34 1.29920E-15 1.82862E-07 2.50298E-08 5.38106E-22 9.02360E-12 1.66118E-14 1.11723E-22 5.32301E-11 7.10060E-12 4.97497E-06 9.97247E-05 2.19544E-20 6.96700E-14 1.69903E-16 6.86148E-14 3.66675E-14 1.33100E-15 3.33983E-12 6.00166E-06 2.57825E-15 6.18682E-13 6.85331E-17 6.99015E-15 2.13326E-13 2.75025E-07 9.99998E-02 2.16320E-12 3.13166E-10 7.05327E-10 2.99999E-04 6.88899E-04 9.98616E-01 1.10884E-04
35 1.29937E-15 1.82862E-07 2.50298E-08 5.38216E-22 9.02361E-12 1.66129E-14 1.11746E-22 5.32300E-11 7.10098E-12 4.97497E-06 9.97247E-05 2.19589E-20 6.96779E-14 1.69934E-16 6.86148E-14 3.66687E-14 1.33118E-15 3.33983E-12 6.00166E-06 2.57860E-15 6.18714E-13 6.85425E-17 6.99030E-15 2.13341E-13 2.75026E-07 9.99998E-02 2.16320E-12 3.13167E-10 7.05327E-10 2.99999E-04 6.88946E-04 9.98616E-01 1.10884E-04
36 1.29946E-15 1.82862E-07 2.50298E-08 5.38272E-22 9.02361E-12 1.66135E-14 1.11757E-22 5.32300E-11 7.10117E-12 4.97497E-06 9.97247E-05 2.19612E-20 6.96819E-14 1.69950E-16 6.86148E-14 3.66693E-14 1.33127E-15 3.33984E-12 6.00166E-06 2.57878E-15 6.18731E-13 6.85472E-17 6.99038E-15 2.13348E-13 2.75026E-07 9.99998E-02 2.16320E-12 3.13167E-10 7.05327E-10 2.99999E-04 6.88970E-04 9.98616E-01 1.10884E-04
37 1.29964E-15 1.82862E-07 2.50298E-08 5.38382E-22 9.02361E-12 1.66146E-14 1.11780E-22 5.32300E-11 7.10155E-12 4.97497E-06 9.97247E-05 2.19657E-20 6.96898E-14 1.69981E-16 6.86148E-14 3.66705E-14 1.33145E-15 3.33984E-12 6.00166E-06 2.57913E-15 6.18763E-13 6.85566E-17 6.99053E-15 2.13363E-13 2.75027E-07 9.99998E-02 2.16320E-12 3.13167E-10 7.05328E-10 2.99999E-04 6.89017E-04 9.98616E-01 1.10884E-04
38 1.29982E-15 1.82862E-07 2.50298E-08 5.38493E-22 9.02361E-12 1.66158E-14 1.11803E-22 5.32299E-11 7.10193E-12 4.97497E-06 9.97247E-05 2.19702E-20 6.96978E-14 1.70012E-16 6.86148E-14 3.66716E-14 1.33163E-15 3.33984E-12 6.00165E-06 2.57948E-15 6.18795E-13 6.85660E-17 6.99069E-15 2.13377E-13 2.75027E-07 9.99998E-02 2.16320E-12 3.13167E-10 7.05328E-10 2.99999E-04 6.89064E-04 9.98616E-01 1.10884E-04
39 1.29990E-15 1.82862E-07 2.50298E-08 5.38549E-22 9.02361E-12 1.66163E-14 1.11815E-22 5.32299E-11 7.10212E-12 4.97497E-06 9.97247E-05 2.19725E-20 6.97018E-14 1.70028E-16 6.86148E-14 3.66722E-14 1.33172E-15 3.33984E-12 6.00165E-06 2.57966E-15 6.18812E-13 6.85707E-17 6.99076E-15 2.13384E-13 2.75027E-07 9.99998E-02 2.16320E-12 3.13167E-10 7.05328E-10 2.99999E-04 6.89088E-04 9.98616E-01 1.10884E-04
40 1.30008E-15 1.82861E-07 2.50298E-08 5.38659E-22 9.02361E-12 1.66174E-14 1.11838E-22 5.32299E-11 7.10249E-12 4.97497E-06 9.97247E-05 2.19770E-20 6.97097E-14 1.70059E-16 6.86149E-14 3.66734E-14 1.33190E-15 3.33984E-12 6.00165E-06 2.58001E-15 6.18844E-13 6.85801E-17 6.99091E-15 2.13399E-13 2.75028E-07 9.99998E-02 2.16320E-12 3.13167E-10 7.05328E-10 2.99999E-04 6.89135E-04 9.98616E-01 1.10884E-04
41 1.30017E-15 1.82861E-07 2.50298E-08 5.38715E-22 9.02362E-12 1.66180E-14 1.11849E-22 5.32298E-11 7.10268E-12 4.97497E-06 9.97247E-05 2.19793E-20 6.97137E-14 1.70074E-16 6.86149E-14 3.66740E-14 1.33199E-15 3.33984E-12 6.00165E-06 2.58019E-15 6.18860E-13 6.85848E-17 6.99099E-15 2.13406E-13 2.75028E-07 9.99998E-02 2.16320E-12 3.13167E-10 7.05328E-10 2.99999E-04 6.89159E-04 9.98616E-01 1.10884E-04
