Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
95 3.08845E-19 5.82823E-18 6.95691E-17 1.50209E-18 4.50553E-20 8.46988E-24 2.21359E-23 1.67215E-19 -8.75873E-19 0.00000E+00 7.65446E-17
96 3.08779E-19 5.82971E-18 6.95666E-17 1.50213E-18 4.52172E-20 8.58310E-24 2.21359E-23 1.69591E-19 -8.75102E-19 0.00000E+00 7.65469E-17
97 3.36569E-19 1.47923E-17 3.79624E-19 3.92699E-18 1.13779E-20 2.29961E-23 2.21359E-23 2.00075E-22 -7.08643E-20 0.00000E+00 1.93763E-17
98 3.36569E-19 1.47428E-17 3.77091E-19 3.91384E-18 1.13874E-20 2.37672E-23 2.21359E-23 2.06012E-22 -7.08643E-20 0.00000E+00 1.93111E-17
99 3.36634E-19 1.46519E-17 2.81244E-19 3.91363E-18 1.15037E-20 2.48684E-23 2.21359E-23 2.13129E-22 -6.94000E-20 0.00000E+00 1.91258E-17
100 3.36596E-19 1.46146E-17 3.28786E-19 3.87898E-18 1.14532E-20 2.56345E-23 2.21359E-23 2.19419E-22 -7.02458E-20 0.00000E+00 1.91005E-17
101 3.36595E-19 1.45537E-17 3.26054E-19 3.86281E-18 1.14649E-20 2.65845E-23 2.21359E-23 2.26216E-22 -7.02458E-20 0.00000E+00 1.90206E-17
102 3.36622E-19 1.44807E-17 2.85717E-19 3.84349E-18 1.15205E-20 2.75882E-23 2.21359E-23 2.32726E-22 -6.96275E-20 0.00000E+00 1.88887E-17
103 3.36687E-19 1.43697E-17 2.11212E-19 3.86446E-18 1.16435E-20 2.89847E-23 2.21359E-23 2.40929E-22 -6.81634E-20 0.00000E+00 1.87259E-17
104 3.36676E-19 1.43194E-17 2.17011E-19 3.79881E-18 1.16361E-20 2.98236E-23 2.21359E-23 2.46633E-22 -6.83912E-20 0.00000E+00 1.86155E-17
105 3.36676E-19 1.42382E-17 2.14566E-19 3.77735E-18 1.16516E-20 3.10913E-23 2.21359E-23 2.54673E-22 -6.83912E-20 0.00000E+00 1.85104E-17
106 3.36703E-19 1.41422E-17 1.85829E-19 3.75201E-18 1.17130E-20 3.24441E-23 2.21359E-23 2.62441E-22 -6.77732E-20 0.00000E+00 1.83610E-17
107 3.36770E-19 1.40257E-17 1.30266E-19 3.72128E-18 1.18446E-20 3.38783E-23 2.21359E-23 2.69585E-22 -6.62289E-20 0.00000E+00 1.81599E-17
108 3.36783E-19 1.39181E-17 1.19608E-19 3.69298E-18 1.18874E-20 3.54798E-23 2.21359E-23 2.78335E-22 -6.59201E-20 0.00000E+00 1.80138E-17
