Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
168 0.00000E+00 3.16073E-19 3.13995E-18 2.50513E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.30063E-17
169 0.00000E+00 3.16003E-19 3.11791E-18 2.50722E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.29842E-17
170 0.00000E+00 3.15947E-19 3.10016E-18 2.50890E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.29664E-17
171 0.00000E+00 3.09617E-19 2.85061E-18 2.52132E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.27105E-17
172 0.00000E+00 3.09563E-19 2.83512E-18 2.52288E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.26950E-17
173 0.00000E+00 3.09510E-19 2.82010E-18 2.52440E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.26799E-17
174 0.00000E+00 3.09459E-19 2.80553E-18 2.52587E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.26653E-17
175 0.00000E+00 3.09409E-19 2.79140E-18 2.52730E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.26511E-17
176 0.00000E+00 3.09361E-19 2.77768E-18 2.52868E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.26373E-17
177 0.00000E+00 3.09313E-19 2.76437E-18 2.53002E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.26240E-17
178 0.00000E+00 2.97746E-19 2.40510E-18 2.54753E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.22532E-17
179 0.00000E+00 2.97703E-19 2.39442E-18 2.54877E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.22424E-17
180 0.00000E+00 2.97661E-19 2.38404E-18 2.54998E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.22320E-17
181 0.00000E+00 2.97620E-19 2.37395E-18 2.55115E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.22219E-17
182 0.00000E+00 2.97580E-19 2.36415E-18 2.55230E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.22121E-17
183 0.00000E+00 2.92347E-19 2.14423E-18 2.56926E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.19869E-17
184 0.00000E+00 2.82064E-19 1.81921E-18 2.59140E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.16516E-17
185 0.00000E+00 2.81843E-19 1.77830E-18 2.59772E-21 1.33285E-18 4.26858E-18 1.39463E-17 2.16105E-17
