Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
32 1.50011E-16 5.47618E-07 5.40468E-09 1.63695E-24 2.79872E-13 1.09648E-14 3.61036E-25 7.81457E-10 1.87762E-11 4.99460E-06 9.99590E-05 1.15525E-23 3.32945E-14 1.42068E-17 1.25056E-14 7.23856E-14 2.75701E-17 1.92258E-14 2.26955E-05 6.93247E-17 4.82510E-14 2.92203E-19 2.74693E-16 3.60105E-14 4.10278E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22229E-04 9.99733E-01 1.28197E-04
33 1.50014E-16 5.47618E-07 5.40468E-09 1.63701E-24 2.79872E-13 1.09649E-14 3.61049E-25 7.81457E-10 1.87764E-11 4.99460E-06 9.99590E-05 1.15529E-23 3.32953E-14 1.42073E-17 1.25056E-14 7.23863E-14 2.75708E-17 1.92258E-14 2.26955E-05 6.93264E-17 4.82515E-14 2.92210E-19 2.74696E-16 3.60109E-14 4.10278E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22230E-04 9.99733E-01 1.28197E-04
34 1.50016E-16 5.47618E-07 5.40468E-09 1.63704E-24 2.79872E-13 1.09649E-14 3.61056E-25 7.81457E-10 1.87765E-11 4.99460E-06 9.99590E-05 1.15531E-23 3.32957E-14 1.42076E-17 1.25056E-14 7.23867E-14 2.75711E-17 1.92258E-14 2.26955E-05 6.93272E-17 4.82517E-14 2.92214E-19 2.74698E-16 3.60112E-14 4.10279E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22231E-04 9.99733E-01 1.28197E-04
35 1.50019E-16 5.47618E-07 5.40468E-09 1.63710E-24 2.79872E-13 1.09650E-14 3.61069E-25 7.81457E-10 1.87768E-11 4.99460E-06 9.99590E-05 1.15535E-23 3.32965E-14 1.42081E-17 1.25056E-14 7.23875E-14 2.75718E-17 1.92258E-14 2.26955E-05 6.93289E-17 4.82521E-14 2.92221E-19 2.74701E-16 3.60116E-14 4.10279E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22233E-04 9.99733E-01 1.28197E-04
36 1.50021E-16 5.47618E-07 5.40468E-09 1.63713E-24 2.79872E-13 1.09651E-14 3.61076E-25 7.81457E-10 1.87769E-11 4.99460E-06 9.99590E-05 1.15537E-23 3.32969E-14 1.42083E-17 1.25056E-14 7.23879E-14 2.75721E-17 1.92258E-14 2.26955E-05 6.93297E-17 4.82524E-14 2.92224E-19 2.74702E-16 3.60118E-14 4.10279E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22233E-04 9.99733E-01 1.28197E-04
37 1.50024E-16 5.47618E-07 5.40468E-09 1.63719E-24 2.79872E-13 1.09652E-14 3.61089E-25 7.81457E-10 1.87771E-11 4.99460E-06 9.99590E-05 1.15542E-23 3.32976E-14 1.42088E-17 1.25056E-14 7.23887E-14 2.75728E-17 1.92258E-14 2.26954E-05 6.93314E-17 4.82528E-14 2.92231E-19 2.74705E-16 3.60123E-14 4.10280E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22235E-04 9.99733E-01 1.28197E-04
38 1.50027E-16 5.47618E-07 5.40468E-09 1.63725E-24 2.79872E-13 1.09653E-14 3.61102E-25 7.81457E-10 1.87773E-11 4.99460E-06 9.99590E-05 1.15546E-23 3.32984E-14 1.42094E-17 1.25056E-14 7.23895E-14 2.75735E-17 1.92258E-14 2.26954E-05 6.93331E-17 4.82533E-14 2.92239E-19 2.74708E-16 3.60127E-14 4.10280E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22236E-04 9.99733E-01 1.28197E-04
39 1.50029E-16 5.47618E-07 5.40468E-09 1.63728E-24 2.79872E-13 1.09654E-14 3.61109E-25 7.81457E-10 1.87774E-11 4.99460E-06 9.99590E-05 1.15548E-23 3.32988E-14 1.42096E-17 1.25056E-14 7.23899E-14 2.75738E-17 1.92258E-14 2.26954E-05 6.93340E-17 4.82535E-14 2.92242E-19 2.74709E-16 3.60129E-14 4.10280E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22237E-04 9.99733E-01 1.28197E-04
40 1.50032E-16 5.47618E-07 5.40468E-09 1.63734E-24 2.79872E-13 1.09655E-14 3.61122E-25 7.81457E-10 1.87776E-11 4.99460E-06 9.99590E-05 1.15552E-23 3.32996E-14 1.42101E-17 1.25056E-14 7.23907E-14 2.75745E-17 1.92258E-14 2.26954E-05 6.93357E-17 4.82539E-14 2.92249E-19 2.74712E-16 3.60134E-14 4.10281E-08 9.99995E-02 2.16738E-12 9.51768E-12 1.25183E-10 2.99999E-04 1.22239E-04 9.99733E-01 1.28197E-04
41 1.50034E-16 5.47618E-07 5.40468E-09 1.63737E-24 2.79872E-13 1.09655E-14 3.61129E-25 7.81457E-10 1.87777E-11 4.99460E-06 9.99590E-05 1.15554E-23 3.33000E-14 1.42104E-17 1.25056E-14 7.23911E-14 2.75748E-17 1.92258E-14 2.26954E-05 6.93365E-17 4.82542E-14 2.92253E-19 2.74714E-16 3.60136E-14 4.10281E-08 9.99995E-02 2.16738E-12 9.51769E-12 1.25183E-10 2.99999E-04 1.22239E-04 9.99733E-01 1.28197E-04
