Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1036,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.178947368e+19,159000000000000.0,1.53031776e+16,2602098600000.0,1.59e+17,5.679337986287752e+21,9.078707953879747e+17,6.3591031960000205e+22,6.359103195999992e+19
1051,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.17918588e+19,159009999998976.0,1.5304140063901444e+16,2602262253983.242,1.59009999998976e+17,5.679567545501325e+21,9.079098288308225e+17,6.359341708000019e+22,6.359341707999989e+19
1066,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.179424392e+19,159009999998976.0,1.5304140063901444e+16,2602262253983.242,1.59009999998976e+17,5.679797104714898e+21,9.079488622736701e+17,6.359580220000017e+22,6.359580219999986e+19
1081,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.179662903e+19,159000000000000.0,1.53031776e+16,2602098600000.0,1.59e+17,5.680026662966007e+21,9.07987895552864e+17,6.359818731000016e+22,6.3598187309999866e+19
1096,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.179901415e+19,159010000003072.0,1.5304140064295668e+16,2602262254050.275,1.59010000003072e+17,5.680256222179578e+21,9.08026928995712e+17,6.360057243000015e+22,6.360057242999986e+19
1111,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180011131e+19,15910000001024.0,1531280224098556.2,260373514016.75818,1.5910000001024e+16,5.680361819879802e+21,9.080448844579762e+17,6.3601669590000154e+22,6.3601669589999845e+19
1126,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180034982e+19,15900000002048.0,1530317760197112.5,260209860033.51636,1.5900000002048e+16,5.680384775608665e+21,9.080487877695308e+17,6.3601908100000165e+22,6.360190809999986e+19
1141,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180058833e+19,15899999997952.0,1530317759802887.2,260209859966.48367,1.5899999997952e+16,5.680407731337525e+21,9.08052691081085e+17,6.360214661000018e+22,6.360214660999984e+19
1156,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180082684e+19,15899999997952.0,1530317759802887.2,260209859966.48367,1.5899999997952e+16,5.680430687066388e+21,9.080565943926396e+17,6.360238512000019e+22,6.360238511999984e+19
1171,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180106535e+19,15900000002048.0,1530317760197112.5,260209860033.51636,1.5900000002048e+16,5.68045364279525e+21,9.08060497704194e+17,6.360262363000021e+22,6.360262362999984e+19
1186,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180130386e+19,15899999997952.0,1530317759802887.2,260209859966.48367,1.5899999997952e+16,5.680476598524111e+21,9.080644010157484e+17,6.360286214000023e+22,6.360286213999983e+19
1201,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180141358e+19,1590000001024.0,153031776098556.3,26020986016.75817,1590000001024000.0,5.680487158679116e+21,9.080661966274364e+17,6.360297186000027e+22,6.3602971859999834e+19
1216,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180143743e+19,1590000001024.0,153031776098556.3,26020986016.75817,1590000001024000.0,5.68048945415575e+21,9.080665869422262e+17,6.360299571000031e+22,6.360299570999982e+19
1231,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180146128e+19,1590000001024.0,153031776098556.3,26020986016.75817,1590000001024000.0,5.680491749632384e+21,9.080669772570159e+17,6.360301956000036e+22,6.36030195599998e+19
1246,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180148513e+19,1590000001024.0,153031776098556.3,26020986016.75817,1590000001024000.0,5.680494045109018e+21,9.080673675718057e+17,6.36030434100004e+22,6.360304340999978e+19
1261,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180150898e+19,1589999996928.0,153031775704331.06,26020985949.725494,1589999996928000.0,5.680496340585653e+21,9.080677578865955e+17,6.3603067260000444e+22,6.3603067259999764e+19
1276,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180153284e+19,1590000001024.0,153031776098556.3,26020986016.75817,1590000001024000.0,5.680498637024752e+21,9.080681483650392e+17,6.360309112000049e+22,6.3603091119999754e+19
1291,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180154381e+19,160000000000.0,15399424000000.0,2618464000.0,160000000000000.0,5.680499692847756e+21,9.080683278934771e+17,6.360310209000049e+22,6.3603102089999745e+19
1306,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180154619e+19,160000000000.0,15399424000000.0,2618464000.0,160000000000000.0,5.680499921914186e+21,9.080683668431291e+17,6.360310447000046e+22,6.360310446999975e+19
1321,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180154858e+19,160000000000.0,15399424000000.0,2618464000.0,160000000000000.0,5.68050015194308e+21,9.080684059564351e+17,6.360310686000042e+22,6.360310685999974e+19
1336,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180155096e+19,160000000000.0,15399424000000.0,2618464000.0,160000000000000.0,5.68050038100951e+21,9.08068444906087e+17,6.360310924000039e+22,6.360310923999974e+19
1351,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180155335e+19,160000000000.0,15399424000000.0,2618464000.0,160000000000000.0,5.680500611038404e+21,9.08068484019393e+17,6.360311163000036e+22,6.360311162999974e+19
1366,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180155573e+19,160000000000.0,15399424000000.0,2618464000.0,160000000000000.0,5.680500840104834e+21,9.08068522969045e+17,6.360311401000032e+22,6.360311400999974e+19
1381,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180155683e+19,20000002048.0,1924928197112.627,327308033.5163392,20000002048000.0,5.680500945975872e+21,9.080685409709848e+17,6.360311511000032e+22,6.3603115109999755e+19
1396,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180155707e+19,20000002048.0,1924928197112.627,327308033.5163392,20000002048000.0,5.680500969075008e+21,9.080685448986807e+17,6.360311535000034e+22,6.360311534999978e+19
1411,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180155731e+19,20000002048.0,1924928197112.627,327308033.5163392,20000002048000.0,5.680500992174145e+21,9.080685488263767e+17,6.360311559000036e+22,6.3603115589999804e+19
1426,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180155754e+19,9999998976.0,962463901443.6864,163653983.2418304,9999998976000.0,5.680501014310818e+21,9.080685525904187e+17,6.360311582000038e+22,6.360311581999982e+19
1441,27.7371,1000.0,0.0962464,1.63654e-05,100000.0,3.180155778e+19,9999998976.0,962463901443.6864,163653983.2418304,9999998976000.0,5.680501037409955e+21,9.080685565181147e+17,6.36031160600004e+22,6.36031160599998e+19
