Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1021,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.178708857e+19,159009999998976.0,7.915947126949024e+16,11938136878923.12,1.59009999998976e+17,3.1595647521169695e+22,4.870008739571328e+18,6.358864685000021e+22,6.358864684999991e+19
1036,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.178947368e+19,159000000000000.0,7.9154493e+16,11937386100000.0,1.59e+17,3.1596834893325685e+22,4.870187808621397e+18,6.3591031960000205e+22,6.359103195999992e+19
1051,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.17918588e+19,159009999998976.0,7.915947126949024e+16,11938136878923.12,1.59009999998976e+17,3.159802227045995e+22,4.870366878422245e+18,6.359341708000019e+22,6.359341707999989e+19
1066,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.179424392e+19,159009999998976.0,7.915947126949024e+16,11938136878923.12,1.59009999998976e+17,3.1599209647594214e+22,4.870545948223096e+18,6.359580220000017e+22,6.359580219999986e+19
1081,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.179662903e+19,159000000000000.0,7.9154493e+16,11937386100000.0,1.59e+17,3.160039701975021e+22,4.870725017273165e+18,6.359818731000016e+22,6.3598187309999866e+19
1096,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.179901415e+19,159010000003072.0,7.915947127152933e+16,11938136879230.639,1.59010000003072e+17,3.1601584396884465e+22,4.870904087074013e+18,6.360057243000015e+22,6.360057242999986e+19
1111,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180011131e+19,15910000001024.0,7920427570509775.0,1194489389076.8796,1.5910000001024e+16,3.1602130592755788e+22,4.870986459542775e+18,6.3601669590000154e+22,6.3601669589999845e+19
1126,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180034982e+19,15900000002048.0,7915449301019550.0,1193738610153.7595,1.5900000002048e+16,3.1602249329473554e+22,4.871004366372699e+18,6.3601908100000165e+22,6.360190809999986e+19
1141,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180058833e+19,15899999997952.0,7915449298980450.0,1193738609846.2402,1.5899999997952e+16,3.160236806619132e+22,4.871022273202623e+18,6.360214661000018e+22,6.360214660999984e+19
1156,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180082684e+19,15899999997952.0,7915449298980450.0,1193738609846.2402,1.5899999997952e+16,3.1602486802909086e+22,4.871040180032548e+18,6.360238512000019e+22,6.360238511999984e+19
1171,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180106535e+19,15900000002048.0,7915449301019550.0,1193738610153.7595,1.5900000002048e+16,3.1602605539626853e+22,4.871058086862472e+18,6.360262363000021e+22,6.360262362999984e+19
1186,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180130386e+19,15899999997952.0,7915449298980450.0,1193738609846.2402,1.5899999997952e+16,3.160272427634462e+22,4.871075993692397e+18,6.360286214000023e+22,6.360286213999983e+19
1201,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180141358e+19,1590000001024.0,791544930509774.9,119373861076.87976,1590000001024000.0,3.1602778897923067e+22,4.871084231239582e+18,6.360297186000027e+22,6.3602971859999834e+19
1216,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180143743e+19,1590000001024.0,791544930509774.9,119373861076.87976,1590000001024000.0,3.160279077109703e+22,4.871086021847495e+18,6.360299571000031e+22,6.360299570999982e+19
1231,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180146128e+19,1590000001024.0,791544930509774.9,119373861076.87976,1590000001024000.0,3.1602802644270996e+22,4.871087812455408e+18,6.360301956000036e+22,6.36030195599998e+19
1246,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180148513e+19,1590000001024.0,791544930509774.9,119373861076.87976,1590000001024000.0,3.160281451744496e+22,4.871089603063321e+18,6.36030434100004e+22,6.360304340999978e+19
1261,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180150898e+19,1589999996928.0,791544928470675.5,119373860769.36067,1589999996928000.0,3.1602826390618925e+22,4.871091393671234e+18,6.3603067260000444e+22,6.3603067259999764e+19
1276,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180153284e+19,1590000001024.0,791544930509774.9,119373861076.87976,1590000001024000.0,3.1602838268771163e+22,4.871093185029926e+18,6.360309112000049e+22,6.3603091119999754e+19
1291,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180154381e+19,160000000000.0,79652320000000.0,12012464000.0,160000000000000.0,3.1602843729933363e+22,4.871094008634489e+18,6.360310209000049e+22,6.3603102089999745e+19
1306,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180154619e+19,160000000000.0,79652320000000.0,12012464000.0,160000000000000.0,3.1602844914761626e+22,4.871094187319892e+18,6.360310447000046e+22,6.360310446999975e+19
1321,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180154858e+19,160000000000.0,79652320000000.0,12012464000.0,160000000000000.0,3.160284610456816e+22,4.871094366756074e+18,6.360310686000042e+22,6.360310685999974e+19
1336,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180155096e+19,160000000000.0,79652320000000.0,12012464000.0,160000000000000.0,3.1602847289396423e+22,4.871094545441478e+18,6.360310924000039e+22,6.360310923999974e+19
1351,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180155335e+19,160000000000.0,79652320000000.0,12012464000.0,160000000000000.0,3.1602848479202955e+22,4.87109472487766e+18,6.360311163000036e+22,6.360311162999974e+19
1366,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180155573e+19,160000000000.0,79652320000000.0,12012464000.0,160000000000000.0,3.160284966403122e+22,4.871094903563063e+18,6.360311401000032e+22,6.360311400999974e+19
1381,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180155683e+19,20000002048.0,9956541019549.695,1501558153.7595391,20000002048000.0,3.1602850211640916e+22,4.871094986148754e+18,6.360311511000032e+22,6.3603115109999755e+19
1396,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180155707e+19,20000002048.0,9956541019549.695,1501558153.7595391,20000002048000.0,3.160285033111939e+22,4.871095004167451e+18,6.360311535000034e+22,6.360311534999978e+19
1411,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180155731e+19,20000002048.0,9956541019549.695,1501558153.7595391,20000002048000.0,3.1602850450597864e+22,4.871095022186147e+18,6.360311559000036e+22,6.3603115589999804e+19
1426,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180155754e+19,9999998976.0,4978269490225.152,750778923.1202303,9999998976000.0,3.160285056509807e+22,4.871095039454065e+18,6.360311582000038e+22,6.360311581999982e+19
1441,14.2226,1000.0,0.497827,7.50779e-05,1.7,3.180155778e+19,9999998976.0,4978269490225.152,750778923.1202303,9999998976000.0,3.1602850684576542e+22,4.871095057472761e+18,6.36031160600004e+22,6.36031160599998e+19
