Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 T_gas 
500 No No No No No No No ----Yes----
501 No No No No No No No ----Yes----
502 No No No No No No No ----Yes----
503 No No No No No No No ----Yes----
504 No No No No No No No ----Yes----
505 No No No No No No No ----Yes----
506 No No No No No No No ----Yes----
507 No No No No No No No ----Yes----
508 No No No No No No No ----Yes----
509 No No No No No No No ----Yes----
510 No No No No No No No ----Yes----
511 No No No No No No No ----Yes----
512 No No No No No No No ----Yes----
513 No No No No No No No ----Yes----
514 No No No No No No No ----Yes----
515 No No No No No No No ----Yes----
516 No No No No No No No ----Yes----
517 No No No No No No No ----Yes----
518 No No No No No No No ----Yes----
519 No No No No No No No ----Yes----
520 No No No No No No No ----Yes----
521 No No No No No No No ----Yes----
522 No No No No No No No ----Yes----
523 No No No No No No No ----Yes----
524 No No No No No No No ----Yes----
525 No No No No No No No ----Yes----
526 No No No No No No No ----Yes----
527 No No No No No No No ----Yes----
528 No No No No No No No ----Yes----
529 No No No No No No No ----Yes----
530 No No No No No No No ----Yes----
531 No No No No No No No ----Yes----
532 No No No No No No No ----Yes----
533 No No No No No No No ----Yes----
534 No No No No No No No ----Yes----
535 No No No No No No No ----Yes----
536 No No No No No No No ----Yes----
537 No No No No No No No ----Yes----
538 No No No No No No No ----Yes----
539 No No No No No No No ----Yes----
540 No No No No No No No ----Yes----
541 No No No No No No No ----Yes----
542 No No No No No No No ----Yes----
543 No No No No No No No ----Yes----
544 No No No No No No No ----Yes----
545 No No No No No No No ----Yes----
546 No No No No No No No ----Yes----
547 No No No No No No No ----Yes----
548 No No No No No No No ----Yes----
549 No No No No No No No ----Yes----
550 No No No No No No No ----Yes----
551 No No No No No No No ----Yes----
552 No No No No No No No ----Yes----
553 No No No No No No No ----Yes----
554 No No No No No No No ----Yes----
555 No No No No No No No ----Yes----
556 No No No No No No No ----Yes----
557 No No No No No No No ----Yes----
558 No No No No No No No ----Yes----
559 No No No No No No No ----Yes----
560 No No No No No No No ----Yes----
561 No No No No No No No ----Yes----
562 No No No No No No No ----Yes----
563 No No No No No No No ----Yes----
564 No No No No No No No ----Yes----
565 No No No No No No No ----Yes----
566 No No No No No No No ----Yes----
567 No No No No No No No ----Yes----
568 No No No No No No No ----Yes----
569 No No No No No No No ----Yes----
570 No No No No No No No ----Yes----
571 No No No No No No No ----Yes----
572 No No No No No No No ----Yes----
573 No No No No No No No ----Yes----
574 No No No No No No No ----Yes----
575 No No No No No No No ----Yes----
576 No No No No No No No ----Yes----
577 No No No No No No No ----Yes----
578 No No No No No No No ----Yes----
579 No No No No No No No ----Yes----
580 No No No No No No No ----Yes----
581 No No No No No No No ----Yes----
582 No No No No No No No ----Yes----
583 No No No No No No No ----Yes----
584 No No No No No No No ----Yes----
585 No No No No No No No ----Yes----
586 No No No No No No No ----Yes----
587 No No No No No No No ----Yes----
588 No No No No No No No ----Yes----
589 No No No No No No No ----Yes----
590 No No No No No No No ----Yes----
591 No No No No No No No ----Yes----
592 No No No No No No No ----Yes----
593 No No No No No No No ----Yes----
594 No No No No No No No ----Yes----
595 No No No No No No No ----Yes----
596 No No No No No No No ----Yes----
597 No No No No No No No ----Yes----
598 No No No No No No No ----Yes----
599 No No No No No No No ----Yes----
600 No No No No No No No ----Yes----
601 No No No No No No No ----Yes----
602 No No No No No No No ----Yes----
603 No No No No No No No ----Yes----
604 No No No No No No No ----Yes----
605 No No No No No No No ----Yes----
606 No No No No No No No ----Yes----
607 No No No No No No No ----Yes----
608 No No No No No No No ----Yes----
609 No No No No No No No ----Yes----
610 No No No No No No No ----Yes----
611 No No No No No No No ----Yes----
612 No No No No No No No ----Yes----
613 No No No No No No No ----Yes----
614 No No No No No No No ----Yes----
615 No No No No No No No ----Yes----
616 No No No No No No No ----Yes----
617 No No No No No No No ----Yes----
618 No No No No No No No ----Yes----
619 No No No No No No No ----Yes----
620 No No No No No No No ----Yes----
621 No No No No No No No ----Yes----
622 No No No No No No No ----Yes----
623 No No No No No No No ----Yes----
624 No No No No No No No ----Yes----
625 No No No No No No No ----Yes----
626 No No No No No No No ----Yes----
627 No No No No No No No ----Yes----
628 No No No No No No No ----Yes----
629 No No No No No No No ----Yes----
630 No No No No No No No ----Yes----
631 No No No No No No No ----Yes----
632 No No No No No No No ----Yes----
633 No No No No No No No ----Yes----
634 No No No No No No No ----Yes----
635 No No No No No No No ----Yes----
636 No No No No No No No ----Yes----
637 No No No No No No No ----Yes----
638 No No No No No No No ----Yes----
639 No No No No No No No ----Yes----
640 No No No No No No No ----Yes----
641 No No No No No No No ----Yes----
642 No No No No No No No ----Yes----
643 No No No No No No No ----Yes----
644 No No No No No No No ----Yes----
645 No No No No No No No ----Yes----
646 No No No No No No No ----Yes----
647 No No No No No No No ----Yes----
648 No No No No No No No ----Yes----
649 No No No No No No No ----Yes----
650 No No No No No No No ----Yes----
651 No No No No No No No ----Yes----
652 No No No No No No No ----Yes----
653 No No No No No No No ----Yes----
654 No No No No No No No ----Yes----
655 No No No No No No No ----Yes----
656 No No No No No No No ----Yes----
657 No No No No No No No ----Yes----
658 No No No No No No No ----Yes----
659 No No No No No No No ----Yes----
660 No No No No No No No ----Yes----
661 No No No No No No No ----Yes----
662 No No No No No No No ----Yes----
663 No No No No No No No ----Yes----
664 No No No No No No No ----Yes----
665 No No No No No No No ----Yes----
666 No No No No No No No ----Yes----
667 No No No No No No No ----Yes----
668 No No No No No No No ----Yes----
669 No No No No No No No ----Yes----
670 No No No No No No No ----Yes----
671 No No No No No No No ----Yes----
672 No No No No No No No ----Yes----
673 No No No No No No No ----Yes----
674 No No No No No No No ----Yes----
675 No No No No No No No ----Yes----
676 No No No No No No No ----Yes----
677 No No No No No No No ----Yes----
678 No No No No No No No ----Yes----
679 No No No No No No No ----Yes----
680 No No No No No No No ----Yes----
681 No No No No No No No ----Yes----
682 No No No No No No No ----Yes----
683 No No No No No No No ----Yes----
684 No No No No No No No ----Yes----
685 No No No No No No No ----Yes----
686 No No No No No No No ----Yes----
687 No No No No No No No ----Yes----
688 No No No No No No No ----Yes----
689 No No No No No No No ----Yes----
690 No No No No No No No ----Yes----
691 No No No No No No No ----Yes----
692 No No No No No No No ----Yes----
693 No No No No No No No ----Yes----
694 No No No No No No No ----Yes----
695 No No No No No No No ----Yes----
696 No No No No No No No ----Yes----
697 No No No No No No No ----Yes----
698 No No No No No No No ----Yes----
699 No No No No No No No ----Yes----
700 No No No No No No No ----Yes----
701 No No No No No No No ----Yes----
702 No No No No No No No ----Yes----
703 No No No No No No No ----Yes----
704 No No No No No No No ----Yes----
705 No No No No No No No ----Yes----
706 No No No No No No No ----Yes----
707 No No No No No No No ----Yes----
708 No No No No No No No ----Yes----
709 No No No No No No No ----Yes----
710 No No No No No No No ----Yes----
711 No No No No No No No ----Yes----
712 No No No No No No No ----Yes----
713 No No No No No No No ----Yes----
714 No No No No No No No ----Yes----
715 No No No No No No No ----Yes----
716 No No No No No No No ----Yes----
717 No No No No No No No ----Yes----
718 No No No No No No No ----Yes----
719 No No No No No No No ----Yes----
720 No No No No No No No ----Yes----
721 No No No No No No No ----Yes----
722 No No No No No No No ----Yes----
723 No No No No No No No ----Yes----
724 No No No No No No No ----Yes----
725 No No No No No No No ----Yes----
726 No No No No No No No ----Yes----
727 No No No No No No No ----Yes----
728 No No No No No No No ----Yes----
729 No No No No No No No ----Yes----
730 No No No No No No No ----Yes----
731 No No No No No No No ----Yes----
732 No No No No No No No ----Yes----
733 No No No No No No No ----Yes----
734 No No No No No No No ----Yes----
735 No No No No No No No ----Yes----
736 No No No No No No No ----Yes----
737 No No No No No No No ----Yes----
738 No No No No No No No ----Yes----
739 No No No No No No No ----Yes----
740 No No No No No No No ----Yes----
741 No No No No No No No ----Yes----
742 No No No No No No No ----Yes----
743 No No No No No No No ----Yes----
744 No No No No No No No ----Yes----
745 No No No No No No No ----Yes----
746 No No No No No No No ----Yes----
747 No No No No No No No ----Yes----
748 No No No No No No No ----Yes----
749 No No No No No No No ----Yes----
750 No No No No No No No ----Yes----
751 No No No No No No No ----Yes----
752 No No No No No No No ----Yes----
753 No No No No No No No ----Yes----
754 No No No No No No No ----Yes----
755 No No No No No No No ----Yes----
756 No No No No No No No ----Yes----
757 No No No No No No No ----Yes----
758 No No No No No No No ----Yes----
759 No No No No No No No ----Yes----
