Particle,n_H,n_g,T_gas,T_dust,chi,F_X
123,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99988E+04,0.00000E+00
124,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99987E+04,0.00000E+00
125,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99987E+04,0.00000E+00
126,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99987E+04,0.00000E+00
127,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99986E+04,0.00000E+00
128,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99986E+04,0.00000E+00
129,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99986E+04,0.00000E+00
130,3.16228E+05,6.32456E-07,7.42398E+02,1.32979E+02,9.99986E+04,0.00000E+00
131,3.16228E+05,6.32456E-07,7.42397E+02,1.32979E+02,9.99985E+04,0.00000E+00
132,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99985E+04,0.00000E+00
133,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99985E+04,0.00000E+00
134,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99984E+04,0.00000E+00
135,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99984E+04,0.00000E+00
136,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99984E+04,0.00000E+00
137,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99983E+04,0.00000E+00
138,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99983E+04,0.00000E+00
139,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99983E+04,0.00000E+00
140,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99982E+04,0.00000E+00
141,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99982E+04,0.00000E+00
142,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99982E+04,0.00000E+00
143,3.16228E+05,6.32456E-07,7.42397E+02,1.32978E+02,9.99982E+04,0.00000E+00
144,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99981E+04,0.00000E+00
145,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99981E+04,0.00000E+00
146,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99981E+04,0.00000E+00
147,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99980E+04,0.00000E+00
148,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99980E+04,0.00000E+00
149,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99980E+04,0.00000E+00
150,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99979E+04,0.00000E+00
151,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99979E+04,0.00000E+00
152,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99979E+04,0.00000E+00
153,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99979E+04,0.00000E+00
154,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99978E+04,0.00000E+00
155,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99978E+04,0.00000E+00
156,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99978E+04,0.00000E+00
157,3.16228E+05,6.32456E-07,7.42396E+02,1.32978E+02,9.99977E+04,0.00000E+00
158,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99977E+04,0.00000E+00
159,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99977E+04,0.00000E+00
160,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99976E+04,0.00000E+00
161,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99976E+04,0.00000E+00
162,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99976E+04,0.00000E+00
163,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99976E+04,0.00000E+00
164,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99975E+04,0.00000E+00
165,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99975E+04,0.00000E+00
166,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99975E+04,0.00000E+00
167,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99974E+04,0.00000E+00
168,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99974E+04,0.00000E+00
169,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99974E+04,0.00000E+00
170,3.16228E+05,6.32456E-07,7.42395E+02,1.32978E+02,9.99973E+04,0.00000E+00
171,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99973E+04,0.00000E+00
172,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99973E+04,0.00000E+00
173,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99972E+04,0.00000E+00
174,3.16228E+05,6.32456E-07,7.42394E+02,1.32978E+02,9.99972E+04,0.00000E+00
