Particle Photoelectic H2Form H2*Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total
89 1.38659E-22 1.38711E-22 6.13291E-33 3.69906E-23 2.46308E-25 3.37132E-28 7.00000E-26 5.73319E-29 -1.90719E-25 0.00000E+00 3.14487E-22
90 1.38659E-22 1.38711E-22 6.13311E-33 3.69906E-23 2.46308E-25 3.37143E-28 7.00000E-26 5.73336E-29 -1.90719E-25 0.00000E+00 3.14487E-22
91 1.38659E-22 1.38711E-22 6.13351E-33 3.69906E-23 2.46308E-25 3.37166E-28 7.00000E-26 5.73369E-29 -1.90719E-25 0.00000E+00 3.14487E-22
92 1.38659E-22 1.38711E-22 6.13371E-33 3.69906E-23 2.46308E-25 3.37177E-28 7.00000E-26 5.73385E-29 -1.90719E-25 0.00000E+00 3.14487E-22
93 1.38659E-22 1.38711E-22 6.13692E-33 3.69906E-23 2.46308E-25 3.37354E-28 7.00000E-26 5.73651E-29 -1.90719E-25 0.00000E+00 3.14487E-22
94 1.38659E-22 1.38711E-22 6.14014E-33 3.69906E-23 2.46308E-25 3.37531E-28 7.00000E-26 5.73917E-29 -1.90719E-25 0.00000E+00 3.14486E-22
95 1.38659E-22 1.38711E-22 6.14336E-33 3.69906E-23 2.46308E-25 3.37708E-28 7.00000E-26 5.74183E-29 -1.90719E-25 0.00000E+00 3.14486E-22
96 1.38659E-22 1.38711E-22 6.14658E-33 3.69905E-23 2.46308E-25 3.37885E-28 7.00000E-26 5.74449E-29 -1.90719E-25 0.00000E+00 3.14486E-22
97 1.38659E-22 1.38711E-22 6.14981E-33 3.69905E-23 2.46308E-25 3.38063E-28 7.00000E-26 5.74715E-29 -1.90719E-25 0.00000E+00 3.14486E-22
98 1.38659E-22 1.38711E-22 6.15304E-33 3.69905E-23 2.46308E-25 3.38241E-28 7.00000E-26 5.74982E-29 -1.90719E-25 0.00000E+00 3.14486E-22
99 1.38658E-22 1.38710E-22 6.15628E-33 3.69905E-23 2.46308E-25 3.38419E-28 7.00000E-26 5.75250E-29 -1.90719E-25 0.00000E+00 3.14485E-22
100 1.38658E-22 1.38710E-22 6.15951E-33 3.69904E-23 2.46308E-25 3.38597E-28 7.00000E-26 5.75517E-29 -1.90719E-25 0.00000E+00 3.14485E-22
101 1.38658E-22 1.38710E-22 6.16255E-33 3.69904E-23 2.46308E-25 3.38764E-28 7.00000E-26 5.75768E-29 -1.90719E-25 0.00000E+00 3.14485E-22
102 1.38658E-22 1.38710E-22 6.16580E-33 3.69904E-23 2.46308E-25 3.38943E-28 7.00000E-26 5.76036E-29 -1.90719E-25 0.00000E+00 3.14485E-22
103 1.38658E-22 1.38710E-22 6.16904E-33 3.69904E-23 2.46308E-25 3.39122E-28 7.00000E-26 5.76304E-29 -1.90719E-25 0.00000E+00 3.14485E-22
104 1.38658E-22 1.38710E-22 6.17229E-33 3.69903E-23 2.46308E-25 3.39300E-28 7.00000E-26 5.76573E-29 -1.90719E-25 0.00000E+00 3.14484E-22
105 1.38658E-22 1.38710E-22 6.17555E-33 3.69903E-23 2.46308E-25 3.39480E-28 7.00000E-26 5.76842E-29 -1.90719E-25 0.00000E+00 3.14484E-22
106 1.38658E-22 1.38710E-22 6.17881E-33 3.69903E-23 2.46308E-25 3.39659E-28 7.00000E-26 5.77111E-29 -1.90719E-25 0.00000E+00 3.14484E-22
107 1.38658E-22 1.38710E-22 6.18207E-33 3.69903E-23 2.46308E-25 3.39838E-28 7.00000E-26 5.77380E-29 -1.90719E-25 0.00000E+00 3.14484E-22
108 1.38658E-22 1.38710E-22 6.18533E-33 3.69902E-23 2.46308E-25 3.40018E-28 7.00000E-26 5.77650E-29 -1.90719E-25 0.00000E+00 3.14484E-22
109 1.38658E-22 1.38710E-22 6.18860E-33 3.69902E-23 2.46308E-25 3.40198E-28 7.00000E-26 5.77920E-29 -1.90719E-25 0.00000E+00 3.14483E-22
110 1.38658E-22 1.38709E-22 6.19187E-33 3.69902E-23 2.46308E-25 3.40378E-28 7.00000E-26 5.78190E-29 -1.90719E-25 0.00000E+00 3.14483E-22
