Time,Density,gasTemp,dustTemp,av,H2O ,H2  ,H   ,H+  ,HE+ ,C   ,C+  ,O   ,O+  ,CO  ,CO+ ,E-  
  3.318E+03, 1.0000E+03,  226.12,   45.87, 1.0240E-06, 5.598E-20, 4.001E-08, 1.000E+00, 1.380E-06, 1.289E-07, 1.122E-10, 1.000E-04, 3.000E-04, 1.881E-10, 3.529E-15, 4.705E-16, 1.065E-04
  3.418E+03, 1.0000E+03,  221.92,   45.87, 1.0240E-06, 6.277E-20, 4.012E-08, 1.000E+00, 1.420E-06, 1.324E-07, 1.131E-10, 1.000E-04, 3.000E-04, 1.897E-10, 3.545E-15, 4.727E-16, 1.066E-04
  3.518E+03, 1.0000E+03,  218.37,   45.87, 1.0240E-06, 6.919E-20, 4.020E-08, 1.000E+00, 1.460E-06, 1.359E-07, 1.139E-10, 1.000E-04, 3.000E-04, 1.916E-10, 3.559E-15, 4.745E-16, 1.066E-04
  3.618E+03, 1.0000E+03,  215.48,   45.87, 1.0240E-06, 7.524E-20, 4.026E-08, 1.000E+00, 1.500E-06, 1.394E-07, 1.146E-10, 1.000E-04, 3.000E-04, 1.938E-10, 3.571E-15, 4.761E-16, 1.066E-04
  3.718E+03, 1.0000E+03,  212.98,   45.87, 1.0240E-06, 8.061E-20, 4.031E-08, 1.000E+00, 1.540E-06, 1.429E-07, 1.152E-10, 1.000E-04, 3.000E-04, 1.964E-10, 3.581E-15, 4.775E-16, 1.067E-04
  3.818E+03, 1.0000E+03,  210.87,   45.87, 1.0240E-06, 8.564E-20, 4.035E-08, 1.000E+00, 1.580E-06, 1.463E-07, 1.158E-10, 1.000E-04, 3.000E-04, 1.992E-10, 3.591E-15, 4.787E-16, 1.067E-04
  3.918E+03, 1.0000E+03,  209.09,   45.87, 1.0240E-06, 9.017E-20, 4.038E-08, 1.000E+00, 1.619E-06, 1.498E-07, 1.163E-10, 1.000E-04, 3.000E-04, 2.021E-10, 3.599E-15, 4.798E-16, 1.068E-04
  4.018E+03, 1.0000E+03,  207.63,   45.87, 1.0240E-06, 9.419E-20, 4.041E-08, 1.000E+00, 1.659E-06, 1.532E-07, 1.167E-10, 1.000E-04, 3.000E-04, 2.053E-10, 3.605E-15, 4.807E-16, 1.068E-04
  4.118E+03, 1.0000E+03,  206.38,   45.87, 1.0240E-06, 9.767E-20, 4.043E-08, 1.000E+00, 1.698E-06, 1.566E-07, 1.170E-10, 1.000E-04, 3.000E-04, 2.087E-10, 3.611E-15, 4.815E-16, 1.069E-04
  4.218E+03, 1.0000E+03,  205.44,   45.87, 1.0240E-06, 1.008E-19, 4.045E-08, 1.000E+00, 1.738E-06, 1.600E-07, 1.173E-10, 1.000E-04, 3.000E-04, 2.122E-10, 3.616E-15, 4.821E-16, 1.069E-04
