Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
34 4.35349E-14 1.38326E-05 3.86255E-08 2.42877E-23 4.55712E-12 1.59719E-12 4.35895E-24 1.84689E-09 8.41810E-11 4.96137E-06 9.92181E-05 2.17358E-21 2.75839E-13 2.32416E-16 4.01859E-14 1.03392E-13 5.39197E-16 1.00974E-12 2.03830E-04 3.18274E-16 8.86101E-13 1.46055E-17 8.87246E-16 7.42094E-14 7.81703E-07 9.99862E-02 1.99351E-12 1.81923E-10 4.62420E-10 2.99997E-04 6.89777E-04 9.98417E-01 3.21844E-04
35 4.35408E-14 1.38326E-05 3.86255E-08 2.42928E-23 4.55713E-12 1.59730E-12 4.35985E-24 1.84688E-09 8.41861E-11 4.96137E-06 9.92181E-05 2.17403E-21 2.75874E-13 2.32462E-16 4.01860E-14 1.03398E-13 5.39266E-16 1.00975E-12 2.03830E-04 3.18318E-16 8.86133E-13 1.46075E-17 8.87276E-16 7.42145E-14 7.81705E-07 9.99862E-02 1.99351E-12 1.81923E-10 4.62422E-10 2.99997E-04 6.89824E-04 9.98417E-01 3.21844E-04
36 4.35438E-14 1.38326E-05 3.86255E-08 2.42953E-23 4.55714E-12 1.59735E-12 4.36030E-24 1.84688E-09 8.41887E-11 4.96137E-06 9.92181E-05 2.17426E-21 2.75892E-13 2.32484E-16 4.01861E-14 1.03400E-13 5.39300E-16 1.00975E-12 2.03830E-04 3.18340E-16 8.86149E-13 1.46085E-17 8.87291E-16 7.42170E-14 7.81705E-07 9.99862E-02 1.99351E-12 1.81923E-10 4.62422E-10 2.99997E-04 6.89848E-04 9.98416E-01 3.21844E-04
37 4.35498E-14 1.38326E-05 3.86255E-08 2.43003E-23 4.55715E-12 1.59746E-12 4.36120E-24 1.84688E-09 8.41938E-11 4.96137E-06 9.92181E-05 2.17470E-21 2.75927E-13 2.32530E-16 4.01862E-14 1.03406E-13 5.39369E-16 1.00976E-12 2.03830E-04 3.18384E-16 8.86181E-13 1.46105E-17 8.87321E-16 7.42221E-14 7.81707E-07 9.99862E-02 1.99351E-12 1.81924E-10 4.62424E-10 2.99997E-04 6.89895E-04 9.98416E-01 3.21844E-04
38 4.35558E-14 1.38326E-05 3.86255E-08 2.43053E-23 4.55716E-12 1.59757E-12 4.36210E-24 1.84688E-09 8.41990E-11 4.96137E-06 9.92181E-05 2.17515E-21 2.75962E-13 2.32575E-16 4.01863E-14 1.03412E-13 5.39438E-16 1.00976E-12 2.03830E-04 3.18427E-16 8.86212E-13 1.46125E-17 8.87351E-16 7.42272E-14 7.81708E-07 9.99862E-02 1.99351E-12 1.81925E-10 4.62425E-10 2.99997E-04 6.89943E-04 9.98416E-01 3.21844E-04
39 4.35588E-14 1.38326E-05 3.86255E-08 2.43078E-23 4.55717E-12 1.59762E-12 4.36255E-24 1.84688E-09 8.42016E-11 4.96137E-06 9.92181E-05 2.17538E-21 2.75979E-13 2.32598E-16 4.01864E-14 1.03415E-13 5.39473E-16 1.00977E-12 2.03830E-04 3.18449E-16 8.86228E-13 1.46135E-17 8.87366E-16 7.42298E-14 7.81709E-07 9.99862E-02 1.99351E-12 1.81925E-10 4.62426E-10 2.99997E-04 6.89966E-04 9.98416E-01 3.21844E-04
40 4.35647E-14 1.38326E-05 3.86255E-08 2.43128E-23 4.55718E-12 1.59773E-12 4.36345E-24 1.84688E-09 8.42067E-11 4.96137E-06 9.92181E-05 2.17583E-21 2.76014E-13 2.32644E-16 4.01865E-14 1.03420E-13 5.39542E-16 1.00977E-12 2.03830E-04 3.18493E-16 8.86260E-13 1.46155E-17 8.87396E-16 7.42349E-14 7.81710E-07 9.99862E-02 1.99351E-12 1.81925E-10 4.62427E-10 2.99997E-04 6.90014E-04 9.98416E-01 3.21844E-04
41 4.35677E-14 1.38326E-05 3.86255E-08 2.43153E-23 4.55719E-12 1.59779E-12 4.36390E-24 1.84688E-09 8.42093E-11 4.96137E-06 9.92181E-05 2.17605E-21 2.76032E-13 2.32667E-16 4.01865E-14 1.03423E-13 5.39576E-16 1.00978E-12 2.03830E-04 3.18515E-16 8.86276E-13 1.46165E-17 8.87411E-16 7.42374E-14 7.81711E-07 9.99862E-02 1.99351E-12 1.81926E-10 4.62428E-10 2.99997E-04 6.90038E-04 9.98416E-01 3.21844E-04
42 4.35737E-14 1.38326E-05 3.86255E-08 2.43203E-23 4.55720E-12 1.59790E-12 4.36480E-24 1.84688E-09 8.42145E-11 4.96137E-06 9.92181E-05 2.17650E-21 2.76067E-13 2.32712E-16 4.01867E-14 1.03429E-13 5.39645E-16 1.00978E-12 2.03830E-04 3.18559E-16 8.86307E-13 1.46185E-17 8.87440E-16 7.42425E-14 7.81712E-07 9.99862E-02 1.99351E-12 1.81926E-10 4.62429E-10 2.99997E-04 6.90085E-04 9.98416E-01 3.21844E-04
43 4.35767E-14 1.38326E-05 3.86255E-08 2.43228E-23 4.55721E-12 1.59795E-12 4.36525E-24 1.84688E-09 8.42170E-11 4.96137E-06 9.92181E-05 2.17672E-21 2.76084E-13 2.32735E-16 4.01867E-14 1.03432E-13 5.39680E-16 1.00978E-12 2.03830E-04 3.18581E-16 8.86323E-13 1.46196E-17 8.87455E-16 7.42451E-14 7.81713E-07 9.99862E-02 1.99351E-12 1.81926E-10 4.62430E-10 2.99997E-04 6.90109E-04 9.98416E-01 3.21844E-04
